Protein Accession	Assembly	Species	Lineage	Assembly BioProject Lineage Title	Assembly BioSample Attribute Name	Assembly BioSample Attribute Value	Assembly BioSample Description Title	Assembly BioSample Sample Identifiers Database	Assembly BioSample Models	Assembly BioSample Owner Name	Assembly BioSample Package	Assembly BioSample Publication date	Assembly Level	Assembly Notes	Assembly Sequencing Tech	Assembly Stats GC Count	Assembly Stats GC Percent	Assembly Stats Genome Coverage	Assembly Stats Total Sequence Length	Current Accession	Organism Name	Organism Taxonomic ID	Assembly Stats Total Sequence Length MB	Signature.accession	Combined Signature description	Total Signature Description	color three
PYQ20818.1	GCA_003223535.1	Acidobacteriota bacterium	Bacteria; Acidobacteriota	Meadow Soil samples from Angelo Coast Range Reserve (2014)	collection_date	10/9/2014	Microbe sample from Acidobacteriota bacterium	Not Available	Microbe, viral or environmental	Jill Banfield's Lab at Berkeley	Microbe.1.0	2018-06-14 0:00:00	Scaffold	derived from metagenome,genus undefined	Illumina HiSeq	3741044	71	5.0x	5326184	GCA_003223535.1	Acidobacteriota bacterium	1978231	5.326184	cd05931	FAAL	1	#FFFFFF
PYQ09033.1	GCA_003223575.1	Acidobacteriota bacterium	Bacteria; Acidobacteriota	Meadow Soil samples from Angelo Coast Range Reserve (2014)	collection_date	10/9/2014	Microbe sample from Acidobacteriota bacterium	Not Available	Microbe, viral or environmental	Jill Banfield's Lab at Berkeley	Microbe.1.0	2018-06-14 0:00:00	Scaffold	derived from metagenome,genus undefined	Illumina HiSeq	3621337	70.5	5.0x	5156361	GCA_003223575.1	Acidobacteriota bacterium	1978231	5.156361	cd05931	FAAL	1	#FFFFFF
MCP4380582.1	GCA_024222895.1	Hyphomicrobiales bacterium	Bacteria; Pseudomonadota; Alphaproteobacteria; Hyphomicrobiales	Foraminiferal nitrate respiration in oxygen minimum zones - past and present - Metagenomics	host	Cancris carmenensis	Microbe sample from Hyphomicrobiales bacterium	Not Available	Microbe, viral or environmental	Kiel University	Microbe.1.0	2022-07-15 0:40:05	Contig	derived from metagenome,genus undefined	Illumina HiSeq	4398984	62	62.0x	7110975	GCA_024222895.1	Hyphomicrobiales bacterium	1909294	7.110975	cd00833-cd05931	FAAL-PKS	2	#000000
MBX7220068.1	GCA_019695185.1	Blastocatellia bacterium	Bacteria; Acidobacteriota; Blastocatellia	Time-series metagenome survey of activated sludge in a full-scale wastewater treatment plant	isolation_source	waste water treatment plant	MIMAG Metagenome-assembled Genome sample from Blastocatellia bacterium	Not Available	MIMAG.wastewater	SCELSE	MIMAG.wastewater.6.0	2021-08-20 18:39:08	Contig	derived from metagenome,genus undefined	Illumina HiSeq	4495762	54	15.3x	8329599	GCA_019695185.1	Blastocatellia bacterium	2052146	8.329599	cd00833-cd05931-cd19531	FAAL-LCL_NRPS-like-PKS	4	#000000
MBT5902101.1	GCA_018667915.1	Opitutaceae bacterium	Bacteria; Verrucomicrobiota; Opitutae; Opitutales; Opitutaceae	The reconstruction of metagenome-assembled genomes from the Saanich Inlet seawater	collection_date	8/1/2012	Metagenome-Assembled Genomes from Saanich Inlet seawaters	Not Available	Microbe, viral or environmental	The University of Melbourne	Microbe.1.0	2021-05-01 0:52:47	Contig	derived from metagenome,genus undefined	Illumina HiSeq 2000	2431794	57	Not Available	4280473	GCA_018667915.1	Opitutaceae bacterium	2006848	4.280473	cd00833-cd05931	FAAL-PKS	2	#000000
WP_247365613.1	GCF_023072835.1	Bradyrhizobium sp. 156	Bacteria; Pseudomonadota; Alphaproteobacteria; Hyphomicrobiales; Nitrobacteraceae; Bradyrhizobium	Sequencing of bradyrhizobia from nodules of Acmispon strigosus	strain	156	Bradyrhizobium sp. 156	Not Available	Microbe, viral or environmental	Oregon State University	Microbe.1.0	2022-04-22 18:40:07	Contig	Not Available	Illumina HiSeq; Oxford Nanopore MinION	5341150	63	110.0x	8457433	GCF_023072835.1	Bradyrhizobium sp. 156	2782630	8.457433	cd05930-cd05931-cd19531	A_NRPS-FAAL-LCL_NRPS-like	4	#000000
WP_052809540.1	GCF_000826685.1	Streptomonospora alba	Bacteria; Actinomycetota; Actinomycetes; Streptosporangiales; Nocardiopsaceae; Streptomonospora	Streptomonospora alba strain:YIM 90003 Genome sequencing and assembly	strain	YIM 90003	Microbe sample from Streptomonospora alba	Not Available	Microbe, viral or environmental	University of Illinois at Urbana-Champaign	Microbe.1.0	2014-09-19 0:00:00	Contig	Not Available	Illumina HiSeq	4251521	72	1706.0x	5914311	GCF_000826685.1	Streptomonospora alba	183763	5.914311	cd05930-cd05931-cd19531	A_NRPS-FAAL-LCL_NRPS-like	4	#000000
KIH99630.1	GCA_000826685.1	Streptomonospora alba	Bacteria; Actinomycetota; Actinomycetes; Streptosporangiales; Nocardiopsaceae; Streptomonospora	Streptomonospora alba strain:YIM 90003 Genome sequencing and assembly	strain	YIM 90003	Microbe sample from Streptomonospora alba	Not Available	Microbe, viral or environmental	University of Illinois at Urbana-Champaign	Microbe.1.0	2014-09-19 0:00:00	Contig	Not Available	Illumina HiSeq	4251521	72	1706.0x	5914311	GCA_000826685.1	Streptomonospora alba	183763	5.914311	cd05930-cd05931-cd19531	A_NRPS-FAAL-LCL_NRPS-like	4	#000000
HBH72471.1	GCA_003508015.1	Synechococcales bacterium UBA10510	Bacteria; Cyanobacteriota; Cyanophyceae; Synechococcales	Collection of 3,087 bacterial metagenome-assembled genomes recovered from metagenomes available from the Sequence Read Archive.	isolate	UBA10510	Uncultivated Synechococcales bacterium UBA10510 genome recovered from SRX1203500	Not Available	Microbe, viral or environmental	University of Queensland	Microbe.1.0	2017-11-13 0:00:00	Scaffold	derived from metagenome,genus undefined	Illumina HiSeq 2000	1775419	61	114.7x	3022684	GCA_003508015.1	Synechococcales bacterium UBA10510	2055795	3.022684	cd05931	FAAL	1	#FFFFFF
MCE9613943.1	GCA_021413965.1	Lentisphaerota bacterium	Bacteria; Lentisphaerota	Microbial communities associated with aster-like nanoparticles (ALNs) Genome sequencing and assembly	collection_date	3/15/2017	MIMAG Metagenome-assembled Genome sample from Lentisphaerota bacterium	Not Available	MIMAG.water	Jill Banfield's Lab at Berkeley	MIMAG.water.6.0	2022-01-01 0:00:00	Contig	derived from metagenome,genus undefined	Illumina NovaSeq 6000	3560013	65.5	32.0x	5430970	GCA_021413965.1	Lentisphaerota bacterium	1932692	5.43097	cd05931	FAAL	1	#FFFFFF
